intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,lineage
9323000,0.04548648042076092,0.9772536687631027,0.04548648042076092,0.04548648042076092,,,,"GCF_000013645.1 Paraburkholderia xenovorans LB400 strain=LB400, ASM1364v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,ee9cb05018009af43429e83e7d502a0a,0.9772536687631027,9323000,0,195639000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia xenovorans
7288000,0.035557810716132746,0.9990404386566141,0.035557810716132746,0.035557810716132746,,,,"GCF_000009705.1 Nostoc sp. PCC 7120 = FACHB-418 strain=PCC 7120, ASM970v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,264cfdad44548ad96c4a24b6a514a877,0.9990404386566141,7288000,1,188351000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705
7039000,0.03434295137635269,0.9998579545454546,0.03434295137635269,0.03434295137635269,,,,"GCF_000196115.1 Rhodopirellula baltica SH 1 strain=1, ASM19611v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,7141c3fbf206734950d13cadba0bf46c,0.9998579545454546,7039000,2,181312000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__Rhodopirellula baltica
6604000,0.03222060674661645,0.9996972449288526,0.03222060674661645,0.03222060674661645,,,,"GCA_000018565.1 Herpetosiphon aurantiacus DSM 785, ASM1856v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,5165e0f27ae96c8a78da00c2d30a8e36,0.9996972449288526,6604000,3,174708000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus
6323000,0.030849620905338552,0.9979482323232324,0.030849620905338552,0.030849620905338552,,,,"GCF_002959695.1 Bacteroides thetaiotaomicron strain=VPI-5482, ASM295969v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,cefca2cf1f2ffaacdd22d23b45bfb6cb,0.9979482323232324,6323000,4,168385000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
5639000,0.02751241693582225,0.9936552696510398,0.027507537982650442,0.027507537982650442,,,,"GCF_000018265.1 Salinispora arenicola CNS-205 strain=CNS-205, ASM1826v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,5519d11c0ae28e167759d1c2b2e1b353,0.9938315121607332,5638000,5,162747000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora arenicola
5422000,0.026453684097540033,0.9998156002212797,0.026453684097540033,0.026453684097540033,,,,"GCF_000007345.1 Methanosarcina acetivorans C2A strain=C2A, ASM734v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,56bdd31d168788f6b31dcd0751089a62,0.9998156002212797,5422000,6,157325000,,SRR606249-known,a1da9ad5,204962000,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans
5188000,0.025312009055337086,0.9904543718976708,0.025312009055337086,0.025312009055337086,,,,"GCF_000021665.1 Shewanella baltica OS223 strain=OS223, ASM2166v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,38729c6374925585db28916b82a6f513,0.9904543718976708,5188000,7,152137000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica
5174000,0.02524370371093178,0.9741704374057315,0.02520955103872913,0.02520955103872913,,,,"GCF_000195675.1 Bordetella bronchiseptica RB50 strain=RB50, ASM19567v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,4d260a2e768d27ef2e2ec65bc61f4a57,0.9754901960784313,5167000,8,146970000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis
5054000,0.024658229330314887,0.997827804107425,0.02465335037714308,0.02465335037714308,,,,"GCF_000022185.1 Chloroflexus aurantiacus Y-400-fl strain=Y-400-fl, ASM2218v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,9cb83c551a9bfbc4e3e7f0bdb0e62a31,0.9980252764612955,5053000,9,141917000,,SRR606249-known,a1da9ad5,204962000,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Chloroflexus;s__Chloroflexus aurantiacus
